Cohort years,group_type,group,Cohort count,"Salaries (-dw, attribution, and displacement) (£)","GVA (-dw, attribution, and displacement) (£)",Savings from reduced reoffending (£),Savings to DWP/Health (£),Volunteer value (mentor and non-mentor) (£),WELLBY (-dw and attribution) (£),Volunteers (-attribution) (£),Total savings (£)
2014/15,All,all,43919,181965650.6,330637965.7,4982223,18400124,584434,65098360.224672325,16900310.169128135,436603417.0938004
2015/16,All,all,43990,180375270,327697271.7,4978412,18428579,677666,68868272.4347296,18170053.092823166,438820254.2275528
2016/17,All,all,43909,174959699.85,317827335.2,4958184,18140245,2357901,73735865.11200167,19669977.23212003,436689507.5441217
2017/18,All,all,44659,164975021,299670696.84999996,4935517,17385531,2496588,81863476.90694606,21417099.429598354,427768909.18654436
2018/19,All,all,45753,158880041.6,288643491.3,4958558,16957004,2663539,81597778.51365969,22172098.24346292,416992469.0571226
2019/20,All,all,39881,141582875.65,257234220.75,4479581,15285062,2900563,79135268.99972308,21466603.48511577,380501299.23483884
2020/21,All,all,32738,130528410.6,239232732.04999998,3476607,13973948,3123224,58419131.72521489,16636955.912548602,334862598.68776345
2021/22,All,all,31367,128174113.75,238467663.2,2786895,14268962,3167963,80410506.46047145,20434830.34544893,359536820.00592035
2022/23,All,all,32526,131107485,244632572.1,2434060,15183407,4026658,92825189.99003169,24069065.72471805,383170952.8147497
2023/24,All,all,33585,136524748.35,250789397.5,2127730,16187375,5217855,89036296.41868952,24533786.904280923,387892440.82297045
2024/25,All,all,28463,114220575.8,182706435.79999998,1613036,13901002,5039327,79223218.20562252,23669617.618029755,306152636.6236523
2025/26,All,all,12786,65350391.05,99166434.05,875740,8003075,1611324,NA,NA,109656573.05
2026/27,All,all,4293,29603767.7,40477729.3,361765,3651159,NA,NA,NA,44490653.3
2027/28,All,all,789,7736952.45,7598779.85,87501,974165,NA,NA,NA,8660445.85
2014/15,Gender,Female (inc),16098,79311819.55,144253440.5,854874,8286958,214212.62595628417,27420292.025429334,5979552.49956114,187009329.65094677
